sibling#n. 兄弟或姊妹
weed#v. 除草
consummate#v. 完成
lunar#adj. 月亮的；月球的
scorch#v. 烤焦，烧焦
plaintiff#n. 原告
intangible#adj. 不可触摸的
exclude#v. 排斥；排除
virile#adj. 有男子气的，阳刚的
contact#n.&v. 接触；互通信息
impressed#adj. 被打动的；被感动的
discombobulate#v. 扰乱，使困惑
prolific#adj. 多产的，多结果的
carillon#n. 编钟，钟琴
tuber#n. 块茎，球根
pirate#v. 盗印；剽窃；抢劫
clay#n. 黏土
gallant#adj. 勇敢的；（向女人）献殷勤的；顽强的
adumbrate#v. （对将来事件）预示
typographical#adj. 印刷上的
encipher#v. 把（电文、通讯等）译成密码
sprout#n. 嫩芽
purloin#v. 偷窃；偷取
antedate#v. （在信、文件上）写上较早日期；早于
bilk#v. 躲债；骗取
provisional#adj. 暂时的，临时的
abate#v. 减轻，减少
fabulous#adj. 难以置信的；寓言里的
detergent#n. 清洁剂
omnipresent#adj. 无处不在的；普遍存在的
glamorous#adj. 迷人的；富有魅力的
brindled#adj. 有棕色斑纹的
laxative#n. 轻泻药
torrid#adj. 酷热的；灼热的
wreak#v. 发泄怒火，报仇
fealty#n. 效忠
prophet#n. 先知，预言家
rustic#adj. 乡村的，乡土气的
hunch#n. 直觉，预感
dote#v. 溺爱，宠爱
pantomime#n. 哑剧；童话剧
whistle#v. 吹口哨
reminisce#v. 追忆，怀旧
serendipity#n. 运气，走运，机缘凑巧
dipsomania#n. 嗜酒狂
aorta#n. 主动脉
content#n. 内容；满意
charter#v. 包租车船
rudder#n. 船舵；领导者
incubator#n. 孵化器；早产婴儿保育箱
lancet#n. 手术刀
trite#adj. 陈腐的，老一套的
factitious#adj. 人为的，不真实的
rakish#adj. 潇洒的；放荡的
anarchy#n. 无政府；政治上的混乱
ceremonious#adj. 仪式隆重的
oddments#n. 零头；碎屑
servitude#n. 奴役，劳役
raze#v. 彻底破坏
extrovert#n. 性格外向者
sibyl#n. 女预言家，女先知
response#n. 反应，回应，回答
hew#v. 砍伐；遵守
rancid#adj. 不新鲜的，变味的，发臭的
extradite#v. 引渡，拿获归案
acerbic#adj. 辛辣的；刻薄的
choreography#n. 舞蹈；舞蹈编排
evade#v. 逃避；规避；回避
anathema#n. 被诅咒的人；宗教意义的诅咒
transcendental#adj. 超越经验的
schism#n. 组织分裂
unfounded#adj. 无事实根据的
curfew#n. 宵禁
axle#n. 轮轴（连接两个车轮的轴）
slick#adj. 熟练的；圆滑的；光滑的
indemnity#n. 赔偿；补偿金；保险；保护
conquer#v. 以武力征服
subliminal#adj. 潜意识的
reproof#n. 责斥，责备
jolly#adj. 欢乐的，快乐的
issue#n. （书刊的）期
vigilant#adj. 机警的，警惕的
belabor#v. 过分冗长地做或说；痛打
void#n. 空隙，空处；空虚感
transgression#n. 违法，罪过
abut#v. 接界，毗连
deride#v. 嘲弄，愚弄
esoteric#adj. 秘传的；难懂的
haphazard#adj. 任意的；无计划的；杂乱无章的
sybaritic#adj. 放纵的
despicable#adj. 可鄙的，卑劣的
squabble#n. 争吵
orthodox#adj. 正统的；规范的；广为接受的
detestable#adj. 可憎的，令人厌恶的
institution#n. 公共机构，协会；制度
famine#n. 饥荒
fallacy#n. 谬误，错误
betray#v. 背叛；暴露
transgress#v. 冒犯，违背
flinch#v. 畏缩，退缩
margarine#n. 人造黄油
defendant#n. 被告
plaque#n. 匾额；饰板；牙斑，齿菌斑
dross#n. 浮渣；糟粕
refectory#n. （学院）餐厅，食堂
laggard#n. 落后者
lasso#n. 套索（捕捉牛、马用）
daunt#v. 使胆怯，使畏缩
sheath#n. （刀、剑）鞘、套
vanguard#n. 前卫
espousal#n. 拥护，支持
gripe#v. 抱怨；发牢骚
gesture#n. 姿势，手势；姿态
decent#adj. 适当的，正直的
forge#v. 锤炼；伪造
stuffy#adj. （空气）不新鲜的，闷气的
disparity#n. 不同，差异
intermingle#v. 混合，掺杂
pan#v. 严厉批评；移动拍摄；淘金
responsiveness#n. 迅速积极的反应
inimitable#adj. 无法仿效的；不可比拟的
fungicide#n. 杀真菌剂
espionage#n. 间谍活动
tribunal#n. 法庭，审理委员会
substantial#adj. 坚固的，结实的；实质的
tutor#v. 辅导
ineptitude#n. 笨拙；不合适
draconian#adj. 严厉的，严酷的
crown#v. 加冕，使成王，居…之顶
trespass#v. 干涉；非法侵入（他人土地）
callow#adj. （鸟）未生羽毛的；（人）未成熟的
hypnotic#n. 催眠药
injurious#adj. 有害的；致伤的
wallow#n.&v. （猪等）在泥水中打滚；沉溺于
taut#adj. 绷紧的；健美的；紧张的
rhyme#v. 押韵
pretension#n. 自命不凡；虚荣；声称；标榜
detrimental#adj. 有害的；不利的
anvil#n. 铁砧
forager#n. 强征（粮食）者；觅食者
jaundiced#adj. 有偏见的
ferret#v. 用雪貂猎取；寻找
disembodied#adj. 无实体的，似脱离人而存在的
apprentice#n. 学徒
gnawing#adj. 痛苦的，苦恼的
interlocking#adj. 连锁的
superb#adj. 极佳的；超凡的
casualty#n. 伤亡事故；伤亡者
herbicide#n. 除草剂
hedgehog#n. 刺猬
suggestive#adj. 暗示的；使人想起…的
carnage#n. 大屠杀，残杀
aggregate#v. 集合；合计
espy#v. 看到；注意到
multiplicity#n. 多样性
bile#n. 胆汁
cohesive#adj. 凝聚的
droll#adj. 古怪的，好笑的
delectation#n. 为愉悦…；供…享受
irascible#adj. 易怒的；性情暴躁的
mosaic#n. 马赛克；镶嵌图案
peck#v. 啄食；匆匆轻吻
perception#n. 感觉；洞察力；理解，看法
poisonous#adj. 有毒的；恶意的
lethargy#n. 昏睡；倦怠；没精打采
diplomatic#adj. 外交的；圆滑的
specter#n. 鬼魂，幽灵；恐惧
commonplace#adj. 平常的
circumstantial#adj. 不重要的，偶然的；描述详细的
execration#n. 诅咒；憎恶；被诅咒的人或物
concentrate#v. 集中，浓缩
spendthrift#adj.&n. 挥金如土的（人）
brute#n.&adj. 野兽（的）；残忍的（人）
outset#n. 开始，开头
canopy#n. 蚊帐，华盖
malodor#n. 恶臭
hauteur#n. 傲慢；自大
arraign#v. 传讯；指责
apostrophe#n. 书写中撇号（’）（表示省略或所有格）
sinister#adj. 不吉祥的；险恶的
domesticate#v. 驯养；驯化
coagulant#n. 凝结剂；凝血剂
appraise#v. 评价，鉴定
centurion#n. 百人队队长，百夫长
pathetic#adj. 可怜的；令人怜悯的；悲惨的；差劲的
clientele#n. （医生、律师的）顾客，（商店的）常客
amble#n.&v. 漫步，缓行
fold#v. 折叠
pathological#adj. 病态的；病理的
hawker#n. 沿街叫卖者
annoy#v. 惹恼；打搅，骚扰
unilateral#adj. 单方面的
enchant#v. 使陶醉；施魔法于
toll#v. 鸣钟；收费；征税
dim#v. 使暗淡，使模糊
tedious#adj. 冗长的，沉闷的
disruptive#adj. 破坏性的；制造混乱的
forswear#v. 发誓抛弃；承诺放弃
allowance#n. 津贴，补助；承认，允许
oatmeal#n. 燕麦片
graphite#n. 石墨
appendage#n. 附加物
hallmark#n. （在金银上的）印记；特征，特点，标志
measured#adj. 仔细的；谨慎小心的
admonish#v. 训诫；警告
flit#v. 掠过，闪过
corrosive#adj. 腐蚀性的，腐蚀的，蚀坏的
contempt#n. 轻视，鄙视
saliferous#adj. 含盐的，产盐的
foothold#n. 立足点，根据地
thespian#adj. 戏剧的，演戏的
duplicity#n. 欺骗，口是心非
chauvinism#n. 沙文主义，盲目爱国主义
hasty#adj. 匆忙的；匆忙结束的；草率的
lethargic#adj. 昏睡的；没精打采的；懒洋洋的
purblind#adj. 愚钝的；视力不佳的
mobility#n. 移动性；流动性；机动性
hive#n. 蜂房；忙碌之地
reliance#n. 信赖，信任
catalyst#n. 催化剂；促使事情发展的因素
meander#v. 蜿蜒而行；漫步；漫谈
almond#n. 杏树，杏仁
vermin#n. 害虫，寄生虫
bather#n. 入浴者，浴疗者
hieroglyph#n. 象形字；象形符号
conversant#adj. 精通的，熟知的
gingerly#adv. 小心谨慎地；战战兢兢地
stagy#adj. 不自然的，演戏一般的
coalesce#v. 联合，合并
emulate#v. 努力赶上或超越
nugatory#adj. 无价值的；无效的
vegetate#v. 像植物般生活；无所事事
glower#v. 怒视；瞪眼看
forlorn#adj. 孤独的；凄凉的
intern#n. 实习生
perish#v. （人或动物）惨死，猝死；湮灭；毁灭；腐烂
opulent#adj. 富裕的；挥金如土的
effigy#n. 模拟像
cipher#n. 零；无影响力的人；密码
distinct#adj. 清楚的，明显的
imbue#v. 向…灌输；使充满
critic#n. 批评者，反对者
mesmerism#n. 催眠术，催眠状态
calligraphy#n. 书法
indifferent#adj. 不感兴趣的，不关心的；平庸的
stomach#v. 吃得下；容忍
objective#n. 目标；目的
lagoon#n. 泻湖；环礁湖
grounded#adj. 头脑清醒的；理智的；脚踏实地的
footle#v. 胡闹；浪费（时间）
sampler#n. 刺绣花样；取样员
inscrutable#adj. 高深莫测的，神秘的
squirrel#n. 松鼠
engender#v. 产生，引起
theocracy#n. 神权政治
decompose#v. （使）腐烂
compile#v. 汇集；编辑
recompense#v. 报酬，赔偿
bohemian#adj.&n. 放荡不羁的（人）
insincerity#n. 伪善
epilogue#n. 收场白；尾声
glean#v. 拾落穗；收集（材料等）
excess#n. 过分，过度，无节制
decode#v. 译解（密码）
phlegmatic#adj. 冷静的；沉着的
haven#n. 港口；安全地方；避难所
waspish#adj. 易怒的；尖刻的
consolidation#n. 合并，巩固
rectify#v. 改正，调正；提纯
unbridled#adj. 放纵的；无约束的
dissent#v. 不同意，持异议
clamp#v. 钳紧
extant#adj. 尚存的；现存的
proliferate#v. 繁殖；激增；扩散
commingle#v. 掺和，混合
expurgate#v. 删除；使洁净
delusion#n. 欺骗，幻想
folder#n. 文件夹，纸夹
prig#n. 道学先生；一本正经的人
omnipotent#adj. 全能的；有无限权力的；无所不能的
compost#n. 混合肥料
mode#n. 方式；时尚；模式
confection#n. 甜食，糖果
dirge#n. 哀歌
causal#adj. 原因的，因果关系的
hazard#n. 危险，危害
bruit#v. 传播，散布
muniments#n. 契据，房契
insider#n. 局内人，圈内人
corrugated#adj. 起皱纹的
betroth#v. 许配，和…订婚
dagger#n. 短剑，匕首
steep#v. 浸泡，浸透
plump#adj. 丰满的；胖乎乎的；圆滚滚的
organism#n. 生物；有机体；（尤指）微生物
counterbalance#v. 起平衡作用
bearing#n. 关系，意义；方位
prescribe#v. 开处方；规定，指定
interference#n. 干涉，妨碍
pedagogy#n. 教育学，教学法
laity#n. 俗人，俗众；外行
beet#n. 甜菜
paunchy#adj. （男子）大腹便便的
coterminous#adj. 毗连的，有共同边界的
etiquette#n. 礼仪；礼节
implication#n. 暗示；可能引发的后果
gloaming#n. 黄昏，薄暮
impermeability#n. 不能渗透
cleave#v. 劈开；分裂
cautionary#adj. 劝人谨慎的，警戒的
marginal#adj. 边缘的；不重要的；（土地）贫瘠的
oblation#n. 供奉，奉献，祭物
gall#n. 胆汁；怨恨
ennoble#v. 授予爵位，使高贵
tenacious#adj. 坚韧不拔的；（记忆力）持久的
vanity#n. 虚荣，自负
torpedo#n. 鱼雷
acronym#n. 首字母缩略词
yearn#v. 盼望，渴望
minuscule#adj. 极小的
brink#n. （峭壁的）边沿，边缘
truncate#v. 把（某物）截短
obstreperous#adj. 吵闹的；难管束的
revealing#adj. 暴露的，裸露的；揭露性的
circumvent#v. 回避；用计谋战胜或规避
sleigh#n. （马拉的）雪橇
tepid#adj. 微温的；不够热情的
summon#v. 召见；召集
circulate#v. 循环；流通；发行
xenophobe#n. 惧外者；排外者
contemplate#v. 深思
haunt#n. 常去的地方
discompose#v. 使不安；打乱
tend#v. 照料；倾向
fulminate#v. 猛烈抨击，严厉谴责
minimize#v. 使减至最低程度
kindred#adj. 同类的，种族的；类似的，相似的
easel#n. 画架
uptight#adj. 紧张不安的
skit#n. 幽默讽刺短剧
etch#v. 蚀刻；铭记
complacent#adj. 自满的，得意的
strait#adj. 狭窄的
paraphrase#v. 意译；改述
maturity#n. 成熟，完备
supersede#v. 淘汰，取代
pedestrian#n. 行人
crumple#v. 弄皱；瘫倒
droop#v. 低垂；沮丧，萎靡
colander#n. 滤器，漏勺
apogee#n. 远地点
puerile#adj. 幼稚的；孩子气的
oxidize#v. 氧化，生锈
boost#v. 往上推；增加，提高
sanctify#v. 使神圣；批准；认可
susceptibility#n. 易感性
cronyism#n. 任人唯亲；对好朋友的偏袒
candor#n. 坦白，率直
veto#n. 否决，禁止
clairvoyant#adj. 透视的，有洞察力的
terrace#n. 梯田；（房屋外的）草坪
treachery#n. 背叛
harmony#n. 融洽，和睦；[音]和声；协调，和谐
sadistic#adj. 施虐狂的，性施虐狂的
demise#n. 死亡；财产转让
rapscallion#n. 流氓，恶棍
sextant#n. 六分仪（航海定向仪器）
cadge#v. 乞讨；占便宜
colonnade#n. 柱廊
besiege#v. 围攻，困扰
queasy#adj. 令人恶心的；充满疑虑的
inured#adj. 习惯的
divine#v. 猜测；揣度
uproarious#adj. 骚动的，喧嚣的；令人捧腹大笑的
dismal#adj. 令人沮丧的，阴沉的
perquisite#n. （工资以外的）财务补贴，额外收入；（随职位而得到的）好处，利益
verified#v. 证实；核实，查清
abstention#n. 弃权；节制
antagonism#n. 反抗，敌意
flaunt#v. 炫耀；张扬
inverse#adj. 相反的；倒转的
thrall#n. 奴隶；控制，奴役
legislation#n. 法律，法规，立法
control#n. 实验对照组
definitive#adj. 明确的，具有权威的
gruesome#adj. 令人厌恶的；恐怖的；令人震惊的
nurture#n. 养育，营养物；环境因素
prevail#v. 战优势；盛行；获胜
mortuary#n. 停尸间，太平间
cooperative#adj. 合作的；愿意协助的
intransigent#adj. 不妥协的，不让步的
cryptic#adj. 秘密的，含义隐晦的
dawdle#v. 闲逛；游荡
midget#n. 侏儒
commotion#n. 骚动，动乱
dune#n. 沙丘
surrealism#n. 超现实主义
impose#v. 征税；强加，强制实行
worship#v.&n. 崇拜，敬仰
wrought#adj. 做成的，精炼的
pact#n. 协定，条约
lubricate#v. 润滑；加润滑油于；使顺畅
ream#n. 令（纸张的计数单位）；大量
entry#n. 条目；登录；报关手续；入口
pun#n. 双关语；双关诙谐语
hover#v. 悬浮；（人）徘徊；（鸟、昆虫等）振翅悬停
woo#v. 向（女人）求爱；争取…的支持
symphony#n. 交响乐，交响曲
irritate#v. 激怒；刺激
connubial#adj. 婚姻的，夫妻的
embankment#n. 堤岸
tresses#n. （复数）女人的长发
altruistic#adj. 无私的，为他人着想的
crack#v. 裂开；破解，破译
blandishment#n. 奉承，甘言劝诱
drought#n. 干旱
sceptical#adj. 怀疑的，不相信的
budge#v. 移动一点儿；改变立场
affectation#n. 做作，虚假
soar#v. 高飞，翱翔；猛增
greenhouse#n. 暖房，温室
fertile#adj. 多产的；肥沃的
renascent#adj. 再生的，复兴的
posterior#n. 臀部；屁股
cooperate#v. 合作
pore#n. 毛孔；气孔
suffice#v. 足够，（食物）满足
fortuitous#adj. 偶然的，意外的；幸运的
draftsmanship#n. 起草术，制图术
stock#n. 存货
gutless#adj. 没有勇气的；懦怯的；没有胆量的
composer#n. 作曲家
martyr#n. 烈士；殉道者；深受…之苦者，受…折磨的人
genesis#n. 创始，起源
bottleneck#n. 瓶颈口，（喻）交通易阻塞的狭口；妨碍生产流程的一环
sewer#n. 排水沟，下水道
wax#v. 给…打蜡；盈，增大
reptile#n. 爬行动物；卑鄙的人
lug#v. 拖，拉
hackneyed#adj. 陈腐的，老生常谈的
adventitious#adj. 偶然的
balky#adj. 不听使唤的；倔强的
portfolio#n. 文件夹；有价证券组合；投资组合；部长职务；大臣职务；产品组合
blatant#adj. 厚颜无耻的；显眼的；炫耀的
ditch#n. 沟，沟渠，壕沟
frisky#adj. 活泼的，快活的
clown#v. 扮小丑
niggard#n. 吝啬鬼
discomfit#v. 使懊恼；使尴尬
podium#n. 讲台；指挥台
testator#n. 立遗嘱的人
fumble#v. 摸索；笨拙地做
rebuke#v. 指责，谴责
bombast#n. 高调，夸大之辞
pomposity#n. 自负，傲慢，自命不凡
berserk#adj. 狂怒的，疯狂的
lattice#n. （做篱笆或爬藤架等的）格子架
ignorant#adj. 无知的，愚昧的
whet#v. 磨（刀）；刺激
flip#adj. 无礼的
torso#n. （人体的）躯干
tactile#adj. 有触觉的
growl#v. （动物）咆哮，吼叫
scrape#v. 刮擦，擦掉
practitioner#n. 从业者，执业者
suture#v. 缝合
gourmet#n. 美食家；讲究饮食的人
woe#n. 悲痛，苦难
meddlesome#adj. 爱好干预的，管闲事的
pout#v. 噘嘴，板脸
siege#n. 包围，围攻
sway#n. 摇动
interlude#n. （活动间的）暂时休息
capsule#n. 荚；胶囊
sill#n. 门槛；窗台
undulate#v. 波动，起伏
appall#v. 使惊骇，使恐怖
underdog#n. 劣势方，弱者
morsel#n. 一小块（食物）；一点点
acorn#n. 橡子，橡果
ungrudging#adj. 慷慨的
trifle#n. 微不足道，琐事
wane#v. 减少，衰微
calibrate#v. 量…口径；校准
dilatory#adj. 拖拉的；拖沓的；延误的
generation#n. 一代人；代，一代（约30年）；（能源的）产生
melancholy#adj. 忧郁的；令人悲伤的
evasion#n. 躲避，借口
gardenia#n. 栀子花；栀子属植物
plush#adj. 豪华的；奢华的；舒适的
cuisine#n. 烹饪
commencement#n. 开始；（大学的）毕业典礼
shavings#n. 刨花
overriding#adj. 最主要的；压倒一切的
machination#n. 阴谋，诡计；策划
compartment#n. 隔间，车厢
daguerreotype#n. （早期）银版照相
antique#n. 古物，古董
canker#n. 溃疡病；祸害
peripheral#adj. 次要的；外围的，周围的
cunning#n. 狡猾；诡诈
adore#v. 崇拜；热爱
contumacy#n. 抗命，拒不服从；固执
jar#v. 冲突，抵触；震惊；发刺耳声
jibe#v. 与…一致，相符；嘲讽，嘲弄
flounder#n. 比目鱼
idolatrize#v. 奉为偶像，盲目崇拜
petrify#v. 使吓呆；使惊呆；（使）停止变化
willful#adj. 任性的；故意的
conformity#n. 一致，遵从；顺众
pen#n. 围栏；监禁；母天鹅
heirloom#n. 传家宝，祖传遗物
humane#adj. 人道的；博爱的，仁爱的
know#n. 知情
closure#n. 关闭；终止
putrid#adj. 腐臭的
intersperse#v. 散布；点缀
impassive#adj. 不露感情的，面无表情的
sporadic#adj. 不定时发生的
dandy#n. 花花公子，好打扮的人
doze#v. 打瞌睡
apologize#v. 道歉；辩解
continuation#n. 继续，延续
jurisprudence#n. 法律学；法学
defoliator#n. 落叶剂
portray#v. 描绘，描述；扮演；刻画
irradicable#adj. 不能根除的
ginger#n. 姜；姜黄色；活力
splurge#n. 炫耀，摆阔
flippant#adj. 无礼的；轻率的
absenteeism#n. 旷课，旷工
decadence#n. 堕落，颓废
abstain#v. 戒（尤指酒），放弃
exacting#adj. 苛刻的；要求严格的
downplay#v. 使轻视；贬低
inoculate#v. 预防注射
germane#adj. 有密切关系的；恰当的
shrink#v. 收缩，皱缩
crass#adj. 愚钝的；粗糙的；冷酷的
discern#v. 辨别，了解，察觉
animosity#n. 憎恶，仇恨
declamation#n. 雄辩，高调
buggy#n. 轻型马车；婴儿车
glee#n. 欢喜；兴奋
engulf#v. 吞噬
perky#adj. 神气的；活泼的；得意洋洋的
sumptuous#adj. 豪华的，奢侈的
charity#n. 仁慈；施舍
grill#n. 烤架
solemnity#n. 庄严，肃穆
benign#adj. 慈祥的
aftermath#n. 事件的后果，余波
spire#n. （教堂）尖顶
parch#v. 烘烤；烤焦
vocalist#n. 流行歌手，声乐家
tiff#n. 小争吵，口角
realm#n. 王国；领域，范围
leery#adj. 机警的，怀疑的
congest#v. 使拥挤；充血
discreet#adj. 言行谨慎的
ascendancy#n. 统治权，支配力量
gerrymander#v. 不正当地操纵；不公正地划分选区
residue#n. 残余物，遗留物；残渣
remnant#n. 残余物；零头布料
ignoble#adj. 卑鄙的；不光彩的
spiny#adj. 针状的；多刺的，棘手的
discriminatory#adj. 歧视的，不公平的
preach#v. 传教，讲道
carbohydrate#n. 碳水化合物
absurd#adj. 荒谬的，荒唐的；可笑的
chalice#n. 大酒杯；圣餐杯
xenophobia#n. 仇外
plait#v. 把…编成辫；编制
rankle#v. 怨恨；激怒
grope#v. 摸索，探索
neolithic#adj. 新石器时代的
tamper#v. 损害，窜改
piazza#n. 走廊；广场
chauvinistic#adj. 沙文主义的，过分爱国主义的
credit#n. 赊购；信任；（电影）片头字幕
indoctrinate#v. 教导；向…灌输（信仰等）
override#v. 不理会；优先于；推翻，否决
reversion#n. 返回（原状，旧习惯）；逆转
stark#adj. （外表）僵硬的；完全的
meteoric#adj. 流星的；迅速成功的，一举成名的
decant#v. 倒出
helve#n. （武器或工具的）把，柄
clamor#v.&n. 吵闹，喧哗
asylum#n. 避难所，庇护所
humiliate#v. 羞辱；使蒙羞；使出丑
sapphire#adj. 天蓝色的
acquaint#v. 使…熟知；通知
wile#n. 诡计，花言巧语
titanic#adj. 庞大的；强大的
polemical#adj. 论战的；争辩的；辩论的
mottled#adj. 有杂色的，斑驳的
presumable#adj. 可能的，可推测的
plaza#n. 广场；购物中心
numb#adj. 麻木的
evacuate#v. 撤退；撤离
melon#n. 甜瓜
osseous#adj. 骨的，多骨的
mosque#n. 清真寺，伊斯兰教寺院
circumference#n. 周围；圆周；周长
spurn#n. 拒绝，摈弃
palpable#adj. 可感知的；明显的
fluctuate#v. 波动；变动
infliction#n. 痛苦的经历；施加；刑罚
enlighten#v. 启发，开导，教化
herbaceous#adj. （植物）草本的
coarsen#v. 使某物变粗糙
momentous#adj. 重大的，关键的，有影响的
centrifugal#adj. 离心的
methodical#adj. 有板有眼的；有条不紊的
tonic#adj. 滋补的
kaleidoscopic#adj. 千变万化的
fiat#n. 命令；指令
cumber#v. 拖累，妨碍
twaddle#n. 胡说八道，瞎扯
aquatic#adj. 水生的，水中的
redemptive#adj. 赎回的，救赎的，救世的
immolate#v. 牺牲，焚祭
imposture#n. 冒充
mushroom#v. 迅速成长
drudgery#n. 苦工，苦活
fodder#n. 草料；饲料
random#adj. 没有明确目的、计划或者目标的；偶然的，随便的
missile#n. 发射物；导弹
cabinet#n. 橱柜；内阁
maxim#n. 格言，箴言
iniquity#n. 邪恶；极不公正
undesirable#adj. 不受欢迎的，讨厌的
niche#n. 壁龛；凹洞；合适的位置；利基市场，商机
gape#v. 裂开；目瞪口呆地凝视
impression#n. 压痕；感觉；滑稽模仿
tenor#n. 男高音；要点，要旨
tinge#v. 微染；使带气息
disembody#v. 使（精神、灵魂等）脱离躯壳；使脱离现实
sideshow#n. 杂耍，穿插表演
gormandize#v. 拼命吃，大吃大喝
squeamish#adj. 易受惊的；易恶心的
stain#v. 玷污；染色
peddle#v. 兜售
gratis#adv. 免费地；无偿地
erratic#adj. 反复无常的；古怪的
scamper#v. 奔跑，快跑
hawser#n. （尤指船上的）缆索
backwater#n. 死水；闭塞地区
counterpart#n. 对应物；职务相当的人
throes#n. 剧痛；困境，痛苦
gab#v. 空谈；瞎扯；唠叨
engaged#adj. 忙碌的，使用中的
yokel#n. 乡巴佬
exiguous#adj. 太少的，不足的
muffled#adj. （声音）被隔的；听不太清的；（衣服）裹严的
asset#n. 财产；可取之处
definition#n. （轮廓等）清晰；定义
paltry#adj. 无价值的，微不足道的
transplantation#n. 移植
ram#n. 公羊；撞锤，猛击；填塞
peel#n. 外皮
memoir#n. 传记；记事录
gravitational#adj. 万有引力的，重力的
analogy#n. 相似；类比
illuminate#v. 阐释，说明；照亮
prologue#n. 开场白，序言；序幕
subside#v. （建筑物等）下陷
narcotic#adj. 催眠的
badinage#n. 开玩笑，打趣
impostor#n. 冒充者，骗子
navigate#v. 为…导航；航行于
brassy#adj. 厚脸皮的，无礼的
grumble#v. 抱怨；发牢骚；隆隆作响
tether#n. （拴牲畜的）绳或链；限度，范围
uproar#n. 喧闹，骚动
ardent#adj. 热心的，热烈的
uncooperative#adj. 不合作的，不配合的
inconstancy#n. （指人）反复无常
oratorio#n. （宗教主题的）清唱剧；[乐]圣乐（歌曲）
thresh#v. 打谷，脱粒
check#v. 使突然停止，阻止
rove#v. 流浪，漂泊
harridan#n. 泼妇；恶婆
ambrosial#adj. 芬香的；美味的
partial#adj. 局部的；偏袒的，偏心的；喜欢的
melody#n. 旋律；歌曲
dainty#adj. 娇美的；精致的
bauble#n. 花哨的小玩意儿；没价值的东西
speculative#adj. 投机的；推理的，思索的
turbulent#adj. 动荡的；骚乱的
animus#n. 敌意，憎恨
parley#v. 和谈，谈判
consul#n. 领事
striking#adj. 引人注目的，明显的
despot#n. 暴君
extend#v. 延展，延长
petulant#adj. 性急的，暴躁的；任性的；脾气坏的
substantiate#v. 证实；证明
revert#v. 恢复，回复到；重新考虑
despotic#adj. 专横的，暴虐的
spool#n. （缠录音带等的）卷盘（轴）
addition#n. 增加，附加
arbitrary#adj. 专横的，不理智的
toy#v. 玩弄
felicitous#adj. （话语等）适当的，得体的
fickle#adj. （爱情或友谊上）易变的，不坚定的
minutia#n. 小事，细节
senile#adj. 年老的
calculus#n. 微积分学；结石
preliterate#adj. 文字出现以前的
intelligible#adj. 可了解的，清晰的
withhold#v. 扣留，保留
slouch#v. 没精打采地坐（站、走）
reverse#v. 倒车；反转
evaporate#v. （使某物）蒸发掉
mean#adj. 卑贱的，吝啬的
multiple#adj. 多部分的；涉及多人的；有多种用途的
percussionist#n. 打击乐器演奏者
lachrymose#adj. 爱掉眼泪的；悲哀的
staccato#adj. （音乐）断音的，不连贯的
retroactive#adj. 溯及既往的，有追溯效力的
rattle#v. 使格格作响；使慌乱
fiend#n. 恶魔；魔鬼
tangy#adj. 强烈的；扑鼻的；有刺激性的
blunt#v. 变钝
solidify#v. 巩固，（使）凝固，（使）团结
initiative#n. 主动权；进取心；倡议
fiscal#adj. 国库的，财政的
vicarious#adj. 间接体验的，替代别人的；代理的；从他人经验中获得的
menace#n. 威胁，危险
glowing#adj. 热烈赞扬的；热情洋溢的
ellipsis#n. 省略
magniloquent#adj. 夸张的
depreciate#v. 轻视；贬值
lint#n. （敷伤口用的）纱布；（衣服上的）线头，毛絮
therapeutic#adj. 治疗性的；有助于治疗的
wraith#n. 幽灵；骨瘦如柴的人
defraud#v. 诈骗，欺骗
molecule#n. 分子
ingenuity#n. 心灵手巧；独创性
brandish#v. （威胁性地）挥舞
core#v. 去掉…的果心
precipitation#n. 降雨（量）；沉淀；匆促，仓促
rivulet#n. 小溪，小河
tumid#adj. 肿起的，肿胀的；浮夸的
horizontal#adj. 水平的；横的
blooming#adj. 有花的；精力旺盛的
corrupt#adj. 堕落的，腐败的；文体有错误的
homely#adj. 像家一样舒适的；（食物）家常的；（女子）热情亲切的；相貌平平的
interloper#n. 闯入者
tangible#adj. 可触摸的
syringe#n. 注射器
install#v. 安装，装置；使就职
notorious#adj. 臭名昭著的，声名狼藉的
usury#n. 放高利贷
advocacy#n. 拥护，支持
affiliation#n. 联系，联合
repulsion#n. 厌恶，反感；排斥力
shipshape#adj. 整洁的，井然有序的
embellish#v. 装饰，润饰
evenhanded#adj. 公平的，不偏不倚的
gusto#n. 热情；兴致；精力
instructive#adj. 传授知识的，启蒙的
spite#n. 怨恨，恶意
decamp#v. （士兵）离营；偷偷逃走
blueprint#n. 蓝图；方案
prevaricate#v. 支吾；搪塞；推诿；闪烁其词
futility#n. 无用；无益
caper#v.&n. 雀跃，欢蹦
veil#v. 以面纱掩盖
evoke#v. 引起；唤起
ventilate#v. 使…通风，透风
pulpit#n. 讲坛；布道坛
distracted#adj. 心烦意乱的，精神不集中的
seasoning#n. 调味品，佐料
inspired#adj. 有创见的，有灵感的
hale#adj. （尤指老人）健壮的，矍铄的
discography#n. 唱片分类目录；录音音乐研究
ticklish#adj. 怕痒的；难处理的，棘手的
plumber#n. 管子工，水暖工
collate#v. 对照，核对
meld#v. （使）混合，（使）合并
nominal#adj. 名义上的，有名无实的；（价格或款项）微不足道的
